1	:	89
2	:	85
3	:	63
4	:	85
5	:	44
6	:	67
7	:	41
8	:	33
9	:	22
10	:	4
11	:	0
12	:	0
13	:	0
14	:	44
15	:	0
16	:	0
17	:	0
18	:	74
19	:	0
20	:	7
21	:	0
22	:	0
23	:	4
24	:	0
25	:	0
26	:	22
27	:	52
28	:	100
29	:	11
30	:	0
31	:	0
32	:	0
33	:	7
34	:	7
35	:	7
36	:	0
37	:	0
38	:	0
39	:	11
40	:	0
41	:	30
42	:	0
43	:	30
44	:	7
45	:	11
46	:	11
